Con,Lab,LD,UKIP,Green,BXP,date_published,date_ordinals
43.0,38.0,9.0,2.0,2.0,0.0,2018-05-10,736824
41.0,40.0,8.0,3.0,2.0,0.0,2018-05-11,736825
39.0,39.0,10.0,4.0,3.0,0.0,2018-05-15,736829
43.0,40.0,8.0,3.0,3.0,0.0,2018-05-15,736829
43.0,38.0,9.0,3.0,3.0,0.0,2018-05-18,736832
43.0,39.0,6.0,4.0,3.0,0.0,2018-05-20,736834
42.0,38.0,9.0,2.0,3.0,0.0,2018-05-22,736836
41.0,41.0,7.0,3.0,3.0,0.0,2018-05-23,736837
40.0,40.0,7.0,2.0,5.0,0.0,2018-05-24,736838
43.0,40.0,8.0,3.0,2.0,0.0,2018-05-30,736844
42.0,37.0,9.0,3.0,3.0,0.0,2018-06-03,736848
44.0,37.0,8.0,3.0,3.0,0.0,2018-06-08,736853
42.0,40.0,7.0,3.0,2.0,0.0,2018-06-10,736855
42.0,40.0,8.0,3.0,3.0,0.0,2018-06-12,736857
42.0,39.0,8.0,3.0,2.0,0.0,2018-06-14,736859
38.0,41.0,11.0,4.0,2.0,0.0,2018-06-20,736865
41.0,38.0,7.0,3.0,3.0,0.0,2018-06-21,736866
41.0,40.0,9.0,3.0,3.0,0.0,2018-06-26,736871
41.0,38.0,7.0,4.0,4.0,0.0,2018-06-29,736874
41.0,40.0,9.0,3.0,2.0,0.0,2018-07-07,736882
38.0,40.0,10.0,3.0,2.0,0.0,2018-07-07,736882
39.0,37.0,10.0,3.0,4.0,0.0,2018-07-08,736883
39.0,39.0,9.0,5.0,3.0,0.0,2018-07-10,736885
40.0,38.0,9.0,3.0,3.0,0.0,2018-07-10,736885
41.0,39.0,9.0,4.0,3.0,0.0,2018-07-11,736886
37.0,39.0,10.0,6.0,3.0,0.0,2018-07-12,736887
37.0,42.0,7.0,6.0,3.0,0.0,2018-07-15,736890
36.0,40.0,8.0,8.0,3.0,0.0,2018-07-15,736890
36.0,41.0,9.0,7.0,2.0,0.0,2018-07-18,736893
38.0,39.0,9.0,6.0,2.0,0.0,2018-07-23,736898
40.0,41.0,8.0,5.0,3.0,0.0,2018-07-25,736900
38.0,38.0,10.0,6.0,3.0,0.0,2018-07-27,736902
38.0,38.0,10.0,6.0,3.0,0.0,2018-07-27,736902
37.0,41.0,6.0,7.0,2.0,0.0,2018-08-04,736910
39.0,40.0,7.0,6.0,3.0,0.0,2018-08-10,736916
39.0,35.0,10.0,7.0,3.0,0.0,2018-08-10,736916
37.0,39.0,10.0,5.0,5.0,0.0,2018-08-14,736920
38.0,40.0,8.0,5.0,2.0,0.0,2018-08-15,736921
40.0,39.0,9.0,4.0,3.0,0.0,2018-08-17,736923
39.0,38.0,7.0,7.0,3.0,0.0,2018-08-19,736925
37.0,40.0,8.0,6.0,5.0,0.0,2018-08-19,736925
41.0,38.0,8.0,6.0,3.0,0.0,2018-08-21,736927
40.0,40.0,8.0,6.0,2.0,0.0,2018-08-22,736928
40.0,37.0,9.0,6.0,2.0,0.0,2018-08-23,736929
39.0,37.0,10.0,5.0,3.0,0.0,2018-08-31,736937
42.0,36.0,9.0,5.0,2.0,0.0,2018-09-05,736942
39.0,35.0,11.0,5.0,4.0,0.0,2018-09-07,736944
37.0,38.0,11.0,7.0,4.0,0.0,2018-09-07,736944
38.0,37.0,10.0,4.0,1.0,0.0,2018-09-08,736945
42.0,39.0,8.0,4.0,3.0,0.0,2018-09-12,736949
40.0,35.0,10.0,5.0,4.0,0.0,2018-09-13,736950
39.0,38.0,7.0,6.0,3.0,0.0,2018-09-16,736953
40.0,36.0,11.0,4.0,3.0,0.0,2018-09-18,736955
39.0,37.0,13.0,2.0,5.0,0.0,2018-09-20,736957
40.0,36.0,11.0,5.0,2.0,0.0,2018-09-22,736959
38.0,38.0,10.0,5.0,4.0,0.0,2018-09-23,736960
37.0,39.0,9.0,8.0,2.0,0.0,2018-09-24,736961
42.0,36.0,11.0,4.0,2.0,0.0,2018-09-27,736964
41.0,40.0,9.0,4.0,3.0,0.0,2018-09-27,736964
39.0,40.0,9.0,5.0,2.0,0.0,2018-09-28,736965
39.0,36.0,9.0,6.0,3.0,0.0,2018-09-30,736967
35.0,40.0,12.0,5.0,3.0,0.0,2018-09-30,736967
38.0,39.0,10.0,4.0,4.0,0.0,2018-10-05,736972
40.0,38.0,9.0,5.0,3.0,0.0,2018-10-06,736973
39.0,39.0,7.0,6.0,3.0,0.0,2018-10-07,736974
39.0,40.0,8.0,3.0,2.0,0.0,2018-10-09,736976
41.0,37.0,9.0,4.0,3.0,0.0,2018-10-11,736978
41.0,37.0,8.0,6.0,3.0,0.0,2018-10-14,736981
41.0,36.0,10.0,3.0,4.0,0.0,2018-10-20,736987
41.0,36.0,9.0,4.0,3.0,0.0,2018-10-22,736989
39.0,37.0,10.0,5.0,5.0,0.0,2018-10-24,736991
41.0,36.0,8.0,4.0,4.0,0.0,2018-10-25,736992
43.0,40.0,6.0,5.0,2.0,0.0,2018-10-29,736996
41.0,39.0,7.0,5.0,2.0,0.0,2018-10-31,736998
37.0,39.0,9.0,6.0,3.0,0.0,2018-11-04,737002
38.0,38.0,9.0,4.0,5.0,0.0,2018-11-07,737005
41.0,37.0,8.0,4.0,4.0,0.0,2018-11-12,737010
40.0,39.0,8.0,3.0,3.0,0.0,2018-11-15,737013
40.0,40.0,8.0,5.0,3.0,0.0,2018-11-17,737015
36.0,37.0,12.0,6.0,4.0,0.0,2018-11-18,737016
36.0,39.0,7.0,8.0,3.0,0.0,2018-11-18,737016
36.0,40.0,9.0,7.0,3.0,0.0,2018-11-18,737016
39.0,36.0,8.0,6.0,4.0,0.0,2018-11-21,737019
40.0,35.0,10.0,6.0,3.0,0.0,2018-11-30,737028
40.0,38.0,9.0,4.0,4.0,0.0,2018-12-05,737033
38.0,38.0,9.0,5.0,5.0,0.0,2018-12-07,737035
38.0,37.0,10.0,3.0,4.0,0.0,2018-12-10,737038
38.0,39.0,8.0,6.0,4.0,0.0,2018-12-16,737044
37.0,38.0,12.0,4.0,4.0,0.0,2018-12-18,737046
39.0,39.0,6.0,6.0,4.0,0.0,2018-12-23,737051
41.0,34.0,8.0,7.0,4.0,0.0,2019-01-03,737062
38.0,41.0,10.0,4.0,2.0,0.0,2019-01-12,737071
36.0,36.0,12.0,6.0,5.0,0.0,2019-01-13,737072
41.0,35.0,11.0,4.0,3.0,0.0,2019-01-14,737073
35.0,38.0,9.0,6.0,4.0,0.0,2019-01-15,737074
39.0,34.0,11.0,6.0,4.0,0.0,2019-01-17,737076
37.0,39.0,8.0,7.0,3.0,0.0,2019-01-17,737076
41.0,39.0,8.0,4.0,2.0,0.0,2019-01-19,737078
37.0,40.0,7.0,7.0,4.0,0.0,2019-01-20,737079
39.0,40.0,9.0,5.0,3.0,0.0,2019-01-20,737079
38.0,37.0,10.0,6.0,3.0,0.0,2019-01-20,737079
38.0,39.0,9.0,4.0,2.0,0.0,2019-01-31,737090
40.0,34.0,9.0,7.0,3.0,0.0,2019-02-03,737093
37.0,33.0,7.0,7.0,4.0,0.0,2019-02-03,737093
41.0,34.0,10.0,4.0,4.0,0.0,2019-02-07,737097
38.0,38.0,10.0,4.0,3.0,0.0,2019-02-07,737097
39.0,34.0,11.0,5.0,4.0,0.0,2019-02-12,737102
40.0,35.0,10.0,3.0,4.0,0.0,2019-02-12,737102
37.0,37.0,8.0,7.0,4.0,0.0,2019-02-17,737107
38.0,35.0,13.0,5.0,5.0,0.0,2019-02-18,737108
40.0,36.0,10.0,5.0,2.0,0.0,2019-02-19,737109
32.0,26.0,9.0,6.0,4.0,0.0,2019-02-19,737109
41.0,33.0,10.0,4.0,4.0,0.0,2019-02-20,737110
43.0,36.0,6.0,6.0,3.0,0.0,2019-02-24,737114
40.0,32.0,5.0,7.0,4.0,0.0,2019-02-24,737114
39.0,31.0,5.0,4.0,3.0,0.0,2019-02-24,737114
41.0,30.0,10.0,5.0,4.0,2.0,2019-02-26,737116
36.0,34.0,8.0,6.0,3.0,0.0,2019-03-06,737124
40.0,31.0,11.0,3.0,4.0,3.0,2019-03-08,737126
39.0,34.0,12.0,5.0,4.0,0.0,2019-03-10,737128
41.0,31.0,8.0,6.0,6.0,0.0,2019-03-12,737130
35.0,31.0,12.0,6.0,4.0,4.0,2019-03-17,737135
34.0,35.0,8.0,6.0,3.0,0.0,2019-03-18,737136
38.0,34.0,8.0,7.0,4.0,1.0,2019-03-21,737139
34.0,35.0,8.0,7.0,4.0,0.0,2019-03-22,737140
36.0,35.0,7.0,9.0,4.0,0.0,2019-03-24,737142
33.0,33.0,8.0,7.0,3.0,0.0,2019-03-26,737144
36.0,33.0,11.0,4.0,4.0,5.0,2019-03-27,737145
32.0,35.0,7.0,6.0,2.0,6.0,2019-03-31,737149
35.0,35.0,9.0,9.0,5.0,0.0,2019-03-31,737149
36.0,41.0,7.0,7.0,3.0,0.0,2019-03-31,737149
32.0,31.0,12.0,7.0,4.0,5.0,2019-04-05,737154
29.0,31.0,8.0,7.0,4.0,6.0,2019-04-07,737156
35.0,34.0,11.0,6.0,5.0,0.0,2019-04-07,737156
27.0,36.0,8.0,5.0,3.0,13.0,2019-04-08,737157
31.0,40.0,8.0,8.0,5.0,0.0,2019-04-08,737157
29.0,29.0,13.0,2.0,5.0,15.0,2019-04-08,737157
32.0,32.0,7.0,9.0,3.0,0.0,2019-04-09,737158
32.0,35.0,11.0,7.0,4.0,0.0,2019-04-10,737159
29.0,36.0,8.0,11.0,4.0,0.0,2019-04-13,737162
28.0,32.0,11.0,6.0,5.0,8.0,2019-04-13,737162
23.0,33.0,7.0,5.0,3.0,14.0,2019-04-18,737167
29.0,30.0,10.0,4.0,5.0,12.0,2019-04-18,737167
27.0,30.0,8.0,5.0,4.0,14.0,2019-04-21,737170
24.0,32.0,9.0,5.0,5.0,13.0,2019-04-24,737173
27.0,30.0,11.0,4.0,5.0,14.0,2019-04-26,737175
25.0,34.0,15.0,4.0,3.0,10.0,2019-05-14,737193
25.0,27.0,15.0,3.0,7.0,16.0,2019-05-16,737195
27.0,30.0,18.0,3.0,6.0,10.0,2019-05-16,737195
27.0,32.0,13.0,2.0,3.0,13.0,2019-05-18,737197
27.0,31.0,15.0,1.0,4.0,14.0,2019-05-23,737202
28.0,33.0,13.0,3.0,3.0,12.0,2019-05-23,737202
26.0,24.0,22.0,1.0,8.0,12.0,2019-06-27,737237
34.0,24.0,20.0,1.0,6.0,9.0,2019-07-01,737241
29.0,30.0,16.0,1.0,5.0,15.0,2019-07-02,737242
28.0,27.0,18.0,2.0,6.0,14.0,2019-07-11,737251
25.0,19.0,23.0,1.0,9.0,17.0,2019-07-24,737264
28.0,27.0,19.0,1.0,4.0,16.0,2019-07-28,737268
30.0,28.0,16.0,1.0,5.0,15.0,2019-07-28,737268
31.0,21.0,20.0,0.0,8.0,13.0,2019-07-28,737268
30.0,25.0,18.0,1.0,4.0,14.0,2019-07-28,737268
32.0,22.0,19.0,0.0,8.0,13.0,2019-07-31,737271
35.0,24.0,18.0,0.0,4.0,14.0,2019-08-01,737272
37.0,30.0,16.0,1.0,4.0,9.0,2019-08-05,737276
