Year,Month,Fieldwork,,Published,Polling,,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,
2020,Apr,16-17,16/4/20,20,YouGov,TT,53.0,1.0,32.0,4.0,5.0,-3.0,3.0,-2.0,1.0,0.0,,
2020,Apr,16-20,16/4/20,22,Kantar,,54.0,4.0,28.0,-1.0,9.0,-2.0,4.0,2.0,1.0,0.0,0.0,-1.0
2020,Apr,17,17/4/20,19,R+W,,52.0,3.0,31.0,2.0,8.0,0.0,3.0,-1.0,,,,
2020,Apr,18-20,18/4/20,22,YouGov,,,,,,,,,,,,,
2020,Apr,21-22,21/4/20,,YouGov,,,,,,,,,,,,,
2020,Apr,21-23,21/4/20,26,Opinium,Ob,50.0,-1.0,33.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
2020,Apr,23-24,23/4/20,26,Deltapoll,MoS,,,,,,,,,,,,
2020,Apr,25-27,25/4/20,,YouGov,,,,,,,,,,,,,
2020,Apr,26,26/4/20,28,R+W,,50.0,-2.0,33.0,2.0,7.0,-1.0,4.0,1.0,,,,
2020,Apr,27-28,27/4/20,1,Survation,,48.0,,31.0,,8.0,,5.0,,1.0,,,
2020,Apr,29-1,29/4/20,3,Opinium,Ob,51.0,1.0,33.0,0.0,6.0,-1.0,3.0,0.0,0.0,0.0,1.0,0.0
2020,May,2-3,2/5/20,,YouGov,,,,,,,,,,,,,
2020,May,5-6,5/5/20,7,YouGov,,50.0,-3.0,30.0,-2.0,7.0,2.0,5.0,2.0,3.0,2.0,,
2020,May,5-7,5/5/20,10,Opinium,Ob,49.0,-2.0,33.0,0.0,6.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0
2020,May,6,6/5/20,6,R+W,,50.0,0.0,31.0,-2.0,7.0,0.0,5.0,1.0,,,,
2020,May,7-11,7/5/20,14,Kantar,,51.0,-3.0,32.0,4.0,7.0,-2.0,2.0,-2.0,2.0,1.0,0.0,0.0
2020,May,8-10,8/5/20,12,YouGov,,,,,,,,,,,,,
2020,May,13-14,13/5/20,,YouGov,,,,,,,,,,,,,
2020,May,13-14,13/5/20,17,Opinium,Ob,49.0,0.0,34.0,1.0,6.0,0.0,3.0,-2.0,0.0,0.0,1.0,0.0
2020,May,15,15/5/20,18,R+W,,47.0,-3.0,35.0,4.0,9.0,2.0,3.0,-2.0,,,,
2020,May,15-17,15/5/20,21,Savanta ComRes,,46.0,-1.0,33.0,2.0,7.0,-2.0,4.0,0.0,2.0,-1.0,,
2020,May,15-18,15/5/20,22,Ipsos,,,,,,,,,,,,,
2020,May,16-18,16/5/20,,YouGov,,,,,,,,,,,,,
2020,May,18-19,18/5/20,,YouGov,,48.0,-2.0,33.0,3.0,6.0,-1.0,5.0,0.0,2.0,-1.0,,
