Con,Lab,LD,Green,BXP/Reform,date_published,date_ordinals
35.0,36.0,10.0,8.0,4.0,2022-10-05,738433
32.0,36.0,12.0,8.0,4.0,2022-10-06,738434
25.0,54.0,10.0,4.0,3.0,2022-10-10,738438
28.0,49.0,11.0,4.0,4.0,2022-10-11,738439
23.0,51.0,9.0,7.0,3.0,2022-10-13,738441
19.0,53.0,8.0,6.0,4.0,2022-10-13,738441
24.0,53.0,13.0,3.0,2.0,2022-10-13,738441
28.0,49.0,10.0,5.0,2.0,2022-10-14,738442
23.0,51.0,10.0,4.0,3.0,2022-10-14,738442
26.0,47.0,10.0,8.0,2.0,2022-10-14,738442
20.0,56.0,11.0,5.0,2.0,2022-10-17,738445
23.0,55.0,7.0,4.0,3.0,2022-10-17,738445
22.0,52.0,11.0,2.0,3.0,2022-10-19,738447
23.0,52.0,11.0,3.0,2.0,2022-10-20,738448
22.0,57.0,7.0,4.0,3.0,2022-10-20,738448
19.0,55.0,12.0,4.0,4.0,2022-10-20,738448
25.0,51.0,10.0,5.0,3.0,2022-10-24,738452
22.0,56.0,10.0,4.0,3.0,2022-10-24,738452
21.0,54.0,11.0,4.0,4.0,2022-10-24,738452
23.0,55.0,9.0,5.0,4.0,2022-10-27,738455
26.0,49.0,10.0,5.0,5.0,2022-10-28,738456
27.0,51.0,8.0,2.0,1.0,2022-10-28,738456
26.0,51.0,9.0,4.0,3.0,2022-10-31,738459
27.0,50.0,9.0,5.0,3.0,2022-10-31,738459
33.0,37.0,11.0,5.0,4.0,2022-11-01,738460
34.0,40.0,10.0,5.0,2.0,2022-11-03,738462
34.0,42.0,8.0,5.0,4.0,2022-11-04,738463
28.0,43.0,12.0,4.0,3.0,2022-11-07,738466
31.0,42.0,12.0,5.0,5.0,2022-11-07,738466
27.0,50.0,6.0,6.0,3.0,2022-11-14,738473
26.0,50.0,9.0,5.0,4.0,2022-11-14,738473
25.0,48.0,10.0,5.0,5.0,2022-11-16,738475
27.0,48.0,10.0,4.0,5.0,2022-11-17,738476
21.0,48.0,10.0,7.0,5.0,2022-11-18,738477
29.0,50.0,7.0,3.0,2.0,2022-11-18,738477
25.0,51.0,9.0,4.0,4.0,2022-11-20,738479
28.0,49.0,9.0,4.0,5.0,2022-11-21,738480
30.0,45.0,8.0,4.0,5.0,2022-11-24,738483
24.0,44.0,8.0,8.0,5.0,2022-11-25,738484
28.0,46.0,10.0,3.0,3.0,2022-11-26,738485
27.0,47.0,11.0,6.0,5.0,2022-11-28,738487
30.0,48.0,10.0,3.0,4.0,2022-11-28,738487
25.0,48.0,9.0,5.0,5.0,2022-11-29,738488
34.0,37.0,10.0,7.0,4.0,2022-12-04,738493
35.0,42.0,10.0,3.0,3.0,2022-12-09,738498
32.0,45.0,8.0,6.0,4.0,2022-12-13,738502
28.0,48.0,11.0,3.0,4.0,2022-12-13,738502
29.0,46.0,9.0,5.0,4.0,2022-12-15,738504
23.0,49.0,13.0,3.0,2.0,2022-12-19,738508
28.0,45.0,9.0,3.0,5.0,2022-12-23,738512
28.0,48.0,7.0,7.0,3.0,2023-01-13,738533
29.0,46.0,9.0,4.0,4.0,2023-01-29,738549
28.0,49.0,8.0,5.0,5.0,2023-01-29,738549
25.0,48.0,9.0,6.0,5.0,2023-02-03,738554
28.0,45.0,12.0,4.0,5.0,2023-02-04,738555
28.0,45.0,10.0,4.0,5.0,2023-02-13,738564
28.0,48.0,8.0,6.0,3.0,2023-02-13,738564
31.0,45.0,9.0,3.0,4.0,2023-02-19,738570
28.0,45.0,9.0,7.0,5.0,2023-02-20,738571
27.0,49.0,8.0,5.0,5.0,2023-02-22,738573
31.0,46.0,8.0,4.0,5.0,2023-02-27,738578
27.0,47.0,12.0,3.0,5.0,2023-03-01,738580
27.0,48.0,9.0,4.0,5.0,2023-03-04,738583
29.0,45.0,10.0,3.0,5.0,2023-03-04,738583
30.0,47.0,8.0,4.0,5.0,2023-03-15,738594
32.0,48.0,9.0,2.0,3.0,2023-03-15,738594
29.0,46.0,8.0,6.0,4.0,2023-03-16,738595
35.0,45.0,7.0,4.0,3.0,2023-03-17,738596
26.0,47.0,11.0,6.0,5.0,2023-03-18,738597
31.0,46.0,8.0,2.0,4.0,2023-03-18,738597
31.0,46.0,8.0,4.0,5.0,2023-03-22,738601
29.0,45.0,9.0,3.0,4.0,2023-03-26,738605
30.0,45.0,10.0,4.0,4.0,2023-03-26,738605
30.0,46.0,9.0,4.0,5.0,2023-03-29,738608
25.0,51.0,9.0,5.0,3.0,2023-05-03,738643
30.0,45.0,9.0,5.0,5.0,2023-05-04,738644
27.0,49.0,10.0,4.0,4.0,2023-06-01,738672
27.0,46.0,9.0,4.0,5.0,2023-06-02,738673
29.0,47.0,9.0,4.0,5.0,2023-06-02,738673
31.0,45.0,9.0,5.0,3.0,2023-09-01,738764
29.0,45.0,10.0,3.0,4.0,2023-09-03,738766
32.0,43.0,9.0,3.0,5.0,2023-09-03,738766
27.0,50.0,9.0,4.0,4.0,2023-10-03,738796
30.0,45.0,9.0,3.0,5.0,2023-12-03,738857
35.47576970145383,45.571969893638425,9.037883607130382,4.282635365043234,4.769783088840882,2024-12-08,739228
