,id,Constituency,Country/Region,Country,Con Vote,Liberal Vote,Labour Vote,UKIP Vote,Green Vote,SNP Vote,PC Vote,DUP Vote,Sinn Fein Vote,SDLP Vote,UUP Vote,Alliance Vote,Other Vote,Total votes
0,E14000530,ALDERSHOT,South East,England,0.550561797752809,0.0743003064351379,0.31617977528089886,0.03669050051072523,0.022267620020429008,,,,,,,,,48950
1,E14000531,ALDRIDGE-BROWNHILLS,West Midlands,England,0.654082266683236,0.03337889896855971,0.2984963340375295,,,,,,,,,,0.014042500310674786,40235
2,E14000532,ALTRINCHAM AND SALE WEST,North West,England,0.5101913241144156,0.07673801856412199,0.38846372419018754,,0.018942981625307824,,,,,,,,0.0056639515059670395,52790
3,E14000533,AMBER VALLEY,East Midlands,England,0.565475540808976,0.024011700246665647,0.3842963480386807,,0.014188731963938791,,,,,,,,0.012027678941738883,45811
4,E14000534,ARUNDEL AND SOUTH DOWNS,South East,England,0.6235561603823686,0.0793779872543813,0.2271972915560276,0.027681890600106212,0.042186670207116306,,,,,,,,,60256
5,E14000535,ASHFIELD,East Midlands,England,0.4169383713719921,0.019382713579901185,0.4257596063448883,0.03770527873902346,0.007961114556037846,,,,,,,,0.09225291540815714,49993
6,E14000536,ASHFORD,South East,England,0.5898228093321531,0.05178777200688054,0.2979341672372618,0.037041366756291855,0.023413884667412614,,,,,,,,,59879
7,E14000537,ASHTON-UNDER-LYNE,North West,England,0.3195635229929852,0.01624217433937596,0.6035501470847057,0.04721796193397531,0.013426193648957837,,,,,,,,,39773
8,E14000538,AYLESBURY,South East,England,0.5496997431230117,0.09628634128914822,0.30037595903577563,0.022047190514264327,0.021043498970790876,,,,,,,,0.01054726706700917,58783
9,E14000539,BANBURY,South East,England,0.5423475520613366,0.056073551866411095,0.3409408401286508,0.025681426854228258,0.01989863877067022,,,,,,,,0.015057990318703095,61562
10,E14000540,BARKING,London,England,0.22464816795654272,0.012563182952662597,0.6778455923991694,0.06357096415612744,0.015184882233268315,,,,,,,,0.0061872103022294934,47679
11,E14000541,BARNSLEY CENTRAL,Yorkshire and The Humber,England,0.24141018753038093,0.014045590605572185,0.639138332437895,0.08542482155192263,0.01458285363420063,,,,,,,,0.005398214240028654,39087
12,E14000542,BARNSLEY EAST,Yorkshire and The Humber,England,0.26969295664116144,0.018393172454384932,0.5954483029232882,0.07963017461251717,,,,,,,,,0.036835393368648224,40776
13,E14000543,BARROW AND FURNESS,North West,England,0.47032990123975627,0.026854381172515235,0.4747215801639,0.020214330741752468,0.007879806682076067,,,,,,,,,47590
14,E14000544,BASILDON AND BILLERICAY,Eastern,England,0.6095774522463155,0.034462798877955385,0.3112560666102676,0.04470368226546151,,,,,,,,,,44918
15,E14000545,BASINGSTOKE,South East,England,0.5273409578270193,0.06086490350250179,0.3581844174410293,0.030039313795568262,0.01976411722659042,,,,,,,,0.003806290207290922,55960
16,E14000546,BASSETLAW,East Midlands,England,0.43282296650717705,0.022086124401913876,0.5256842105263158,,,,,,,,,,0.019406698564593303,52250
17,E14000547,BATH,South West,England,0.357824254280701,0.47266200108908296,0.14680434826452615,,0.022709396365689853,,,,,,,,,49583
18,E14000548,BATLEY AND SPEN,Yorkshire and The Humber,England,0.38830420230568985,0.022759390107846784,0.5549274823354406,,0.012923019709929342,,,,,,,,0.021085905541093342,53780
19,E14000549,BATTERSEA,London,England,0.41548912056376913,0.0799338879000327,0.45937011878382794,0.006484071342947437,0.015728867739474735,,,,,,,,0.022993933669948056,55058
20,E14000550,BEACONSFIELD,South East,England,0.6525130291996859,0.07938887699007639,0.21446419647319198,0.02871778396516028,0.024916113371885484,,,,,,,,,56028
21,E14000551,BECKENHAM,London,England,0.5932984698818516,0.078888243269417,0.3010846407127639,,0.02672864613596746,,,,,,,,,51630
22,E14000552,BEDFORD,Eastern,England,0.45220709570957096,0.05851897689768977,0.4684818481848185,,0.020792079207920793,,,,,,,,,48480
23,E14000553,BERMONDSEY AND OLD SOUTHWARK,London,England,0.1295432408878864,0.3108115035628236,0.532475521607628,0.01431964593906461,0.010919157225611318,,,,,,,,0.0019309307769860393,58521
24,E14000554,BERWICK-UPON-TWEED,North East,England,0.5246138538804132,0.21121955841940682,0.24552260020847153,,0.01864398749170852,,,,,,,,,42212
25,E14000555,BETHNAL GREEN AND BOW,London,England,0.12663602173004596,0.04984538236523193,0.7182448809026327,0.014943585457584622,0.025340576681989135,,,,,,,,0.06498955286251568,59825
26,E14000556,BEVERLEY AND HOLDERNESS,Yorkshire and The Humber,England,0.5841151730831446,0.050469103849886766,0.33173370717854705,,0.01286890254861785,,,,,,,,0.02081311333980373,55638
27,E14000557,BEXHILL AND BATTLE,South East,England,0.6196865751950498,0.0754136400322841,0.24699018025289213,0.03373015873015873,0.02417944578961528,,,,,,,,,59472
28,E14000558,BEXLEYHEATH AND CRAYFORD,London,England,0.5557325897895505,0.026577264378499194,0.3549536391599726,0.0430193188607847,0.013299696828874283,,,,,,,,0.006417490982318706,45189
29,E14000559,BIRKENHEAD,North West,England,0.18422921008634313,0.02560520349036942,0.7685683530678149,,0.021597233355472596,,,,,,,,,43663
30,E14000560,"BIRMINGHAM, EDGBASTON",West Midlands,England,0.3945473722828579,0.0358616894432725,0.5531505090342108,,0.01288636155186646,,,,,,,,0.0035540676877923506,43612
31,E14000561,"BIRMINGHAM, ERDINGTON",West Midlands,England,0.3838568396163044,0.020152081038235216,0.5796007201010291,,0.01639035924443131,,,,,,,,,37217
32,E14000562,"BIRMINGHAM, HALL GREEN",West Midlands,England,0.15096667280427178,0.05776100165715338,0.7759712760081017,,0.01530104953047321,,,,,,,,,54310
33,E14000563,"BIRMINGHAM, HODGE HILL",West Midlands,England,0.14182868474371685,0.017351381644178127,0.8105789541751088,0.021899383540975127,0.008341595896021037,,,,,,,,,46394
34,E14000564,"BIRMINGHAM, LADYWOOD",West Midlands,England,0.13198731449875323,0.0279855714527804,0.8271237320550996,,0.012903381993366742,,,,,,,,,41307
35,E14000565,"BIRMINGHAM, NORTHFIELD",West Midlands,England,0.4268287183187517,0.021624425002254893,0.5320645801389015,,0.019482276540092,,,,,,,,,44348
36,E14000566,"BIRMINGHAM, PERRY BARR",West Midlands,England,0.2653121252573704,0.024436047695544947,0.6812453333936692,,0.013371948322284317,,,,,,,,0.015634545331131074,44197
37,E14000567,"BIRMINGHAM, SELLY OAK",West Midlands,England,0.31905685413902213,0.03356129427375727,0.629498826171277,,0.017883025415943655,,,,,,,,,48985
38,E14000568,"BIRMINGHAM, YARDLEY",West Midlands,England,0.19828322322592243,0.17940766707114286,0.5707159228798706,0.043054244753044806,0.006291852051593187,,,,,,,,0.002247090018426138,44502
39,E14000569,BISHOP AUCKLAND,North East,England,0.46916660890460016,0.027171276079573023,0.4807652318569349,,,,,,,,,,0.022896883158891893,43281
40,E14000570,BLACKBURN,North West,England,0.26896769441229085,0.014921603704093444,0.6976323266336947,,,,,,,,,,0.01847837524992108,47515
41,E14000571,BLACKLEY AND BROUGHTON,North West,England,0.21581532171615186,0.018373096003789294,0.7044599007802956,0.04549647246528557,0.011517463166554484,,,,,,,,0.0043377458679231175,40113
