,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/ PC Vote,Other Vote,Total votes,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
23,27,AYRSHIRE CENTRAL,Scotland,0.36,0.49,,,0.15,48062.0,,,,,,,,,,,,,,,,,48256,0.8207500637809337
24,28,AYRSHIRE NORTH & BUTE,Scotland,0.46,0.28,0.1,,0.16,27131.0,,,,,,,,,,,,,,,,,37538,0.7704844006568144
25,29,AYRSHIRE SOUTH,Scotland,0.26,0.57,,,0.16,47867.0,,,,,,,,,,,,,,,,,40348,0.7945022054190296
26,30,BANBURY,South East,0.45,0.33,0.22,,,45014.0,,,,,,,,,,,,,,,,,55403,0.8276639925902688
27,31,BANFFSHIRE,Scotland,0.34,0.06,0.13,,0.46,30209.0,,,,,,,,,,,,,,,,,23938,0.756956741715153
28,32,BARKING,London,0.19,0.6,0.21,,,40349.0,,,,,,,,,,,,,,,,,38012,0.7661083902694641
29,33,BARKSTON ASH,Yorkshire and the Humber,0.49,0.3,0.21,,,44299.0,,,,,,,,,,,,,,,,,69379,0.835207300043338
30,34,BARNSLEY,Yorkshire and the Humber,0.28,0.72,,,,40637.0,,,,,,,,,,,,,,,,,56564,0.7460103927619952
31,35,BARROW-IN-FURNESS,North West,0.34,0.46,0.2,,,50492.0,,,,,,,,,,,,,,,,,43213,0.7996780043672971
32,36,BARRY,Wales,0.44,0.35,0.18,0.03,,43523.0,,,,,,,,,,,,,,,,,57077,0.8229569179306765
33,37,BASILDON,Eastern,0.31,0.45,0.24,,,49172.0,,,,,,,,,,,,,,,,,74125,0.8203570282324557
34,38,BASINGSTOKE,South East,0.43,0.32,0.25,,,38680.0,,,,,,,,,,,,,,,,,71573,0.8323893702389952
35,39,BASSETLAW,East Midlands,0.4,0.6,,,,33586.0,,,,,,,,,,,,,,,,,56214,0.7904772618612369
