,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share
75,E14000588,BRADFORD SOUTH,,,,,,,,,,,,,,,,0.07093429958984424
76,E14000589,BRADFORD WEST,,,,,,,,,,,,,,,,0.03515510268633786
77,E14000590,BRAINTREE,,,,,,,,,,,,,,,,
78,W07000068,BRECON AND RADNORSHIRE,,,,,,,,,,,,,,,,
79,E14000591,BRENT CENTRAL,,,,,,,,,,,,,,,,
80,E14000593,BRENTFORD AND ISLEWORTH,,,,,,,,,,,,,,,,0.019973939580975895
81,E14000592,BRENT NORTH,,,,,,,,,,,,,,,,0.018331116636789452
82,E14000594,BRENTWOOD AND ONGAR,,,,,,,,,,,,,,,,
83,W07000073,BRIDGEND,,,,,,,,,,,,,,,,0.0428781134577138
84,E14000595,BRIDGWATER AND WEST SOMERSET,,,,,,,,,,,,,,,,
85,E14000596,BRIGG AND GOOLE,,,,,,,,,,,,,,,,
86,E14000597,"BRIGHTON, KEMPTOWN",,,,,,,,,,,,,,,,0.027342220757010694
87,E14000598,"BRIGHTON, PAVILION",,,,,,,,,,,,,,,,0.013276319873099072
88,E14000599,BRISTOL EAST,,,,,,,,,,,,,,,,0.03606626529125283
89,E14000600,BRISTOL NORTH WEST,,,,,,,,,,,,,,,,
90,E14000601,BRISTOL SOUTH,,,,,,,,,,,,,,,,0.04212261758098413
91,E14000602,BRISTOL WEST,,,,,,,,,,,,,,,,0.01150566677258765
92,E14000603,BROADLAND,,,,,,,,,,,,,,,,
93,E14000604,BROMLEY AND CHISLEHURST,,,,,,,,,,,,,,,,
94,E14000605,BROMSGROVE,,,,,,,,,,,,,,,,
95,E14000606,BROXBOURNE,,,,,,,,,,,,,,,,
96,E14000607,BROXTOWE,,,,,,,,,,,,,,,,
97,E14000608,BUCKINGHAM,,,,,,,,,,,,,,,,0.020265372372277726
98,E14000609,BURNLEY,,,,,,,,,,,,,,,,0.08624050892673918
99,E14000610,BURTON,,,,,,,,,,,,,,,,
100,E14000611,BURY NORTH,,,,,,,,,,,,,,,,0.026472534745201854
101,E14000612,BURY SOUTH,,,,,,,,,,,,,,,,0.03325774754346183
102,E14000613,BURY ST EDMUNDS,,,,,,,,,,,,,,,,
103,W07000076,CAERPHILLY,,,,,,,,,,,,,,,,0.11192262631801979
104,S14000009,"CAITHNESS, SUTHERLAND AND EASTER ROSS",,,,,,,,,,,,,,,,0.03620815716692628
105,E14000614,CALDER VALLEY,,,,,,,,,,,,,,,,
106,E14000615,CAMBERWELL AND PECKHAM,,,,,,,,,,,,,,,,0.018427387948736104
107,E14000616,CAMBORNE AND REDRUTH,,,,,,,,,,,,,,,,
108,E14000617,CAMBRIDGE,,,,,,,,,,,,,,,,0.019375011632451748
109,E14000618,CANNOCK CHASE,,,,,,,,,,,,,,,,
110,E14000619,CANTERBURY,,,,,,,,,,,,,,,,
111,W07000050,CARDIFF CENTRAL,,,,,,,,,,,,,,,,0.024054325474630576
112,W07000051,CARDIFF NORTH,,,,,,,,,,,,,,,,0.024892720161014695
113,W07000080,CARDIFF SOUTH AND PENARTH,,,,,,,,,,,,,,,,0.039522331402360666
114,W07000079,CARDIFF WEST,,,,,,,,,,,,,,,,0.03506074452649587
115,E14000620,CARLISLE,,,,,,,,,,,,,,,,
116,W07000067,CARMARTHEN EAST AND DINEFWR,,,,,,,,,,,,,,,,0.056363104238817616
117,W07000066,CARMARTHEN WEST AND SOUTH PEMBROKESHIRE,,,,,,,,,,,,,,,,
118,E14000621,CARSHALTON AND WALLINGTON,,,,,,,,,,,,,,,,0.021243227830054178
119,E14000622,CASTLE POINT,,,,,,,,,,,,,,,,
120,S14000010,CENTRAL AYRSHIRE,,,,,,,,,,,,,,,,
121,E14000623,CENTRAL DEVON,,,,,,,,,,,,,,,,
122,E14000624,CENTRAL SUFFOLK AND NORTH IPSWICH,,,,,,,,,,,,,,,,
123,W07000064,CEREDIGION,,,,,,,,,,,,,,,,0.051439970078543826
124,E14000625,CHARNWOOD,,,,,,,,,,,,,,,,
125,E14000626,CHATHAM AND AYLESFORD,,,,,,,,,,,,,,,,
126,E14000627,CHEADLE,,,,,,,,,,,,,,,,
127,E14000628,CHELMSFORD,,,,,,,,,,,,,,,,
128,E14000629,CHELSEA AND FULHAM,,,,,,,,,,,,,,,,
129,E14000630,CHELTENHAM,,,,,,,,,,,,,,,,
130,E14000631,CHESHAM AND AMERSHAM,,,,,,,,,,,,,,,,
131,E14000632,CHESTERFIELD,,,,,,,,,,,,,,,,0.10558580091178683
132,E14000633,CHICHESTER,,,,,,,,,,,,,,,,
133,E14000634,CHINGFORD AND WOODFORD GREEN,,,,,,,,,,,,,,,,
134,E14000635,CHIPPENHAM,,,,,,,,,,,,,,,,
135,E14000636,CHIPPING BARNET,,,,,,,,,,,,,,,,
