,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/PC Vote,DUP Vote,OUP Vote,Sinn Fein Vote,SDLP Vote,Alliance Vote,Worker's Party Vote,Other Vote,Total votes
0,1,LUTON SOUTH,Eastern,0.4185117765064269,0.33267701909502934,0.24881120439854373,,,,,,,,,53836
1,2,BEDFORDSHIRE MID,Eastern,0.5684840768714623,0.16207009273437364,0.2694458303941641,,,,,,,,,58123
2,3,BEDFORDSHIRE NORTH,Eastern,0.5202954088845896,0.21063695215417813,0.26266835330009675,,,,,,,,0.006399285661135501,53756
3,4,LUTON NORTH,Eastern,0.48344996112406974,0.26165352289977417,0.2548965159761561,,,,,,,,,54018
4,5,BEDFORDSHIRE SOUTH WEST,Eastern,0.5505355100343142,0.1715538456206024,0.27791064434508334,,,,,,,,,57702
5,6,BERKSHIRE EAST,South East,0.5681240382685488,0.13302000401418346,0.2988559577172677,,,,,,,,,59788
6,7,NEWBURY,South East,0.5932800357801755,0.05640968301000727,0.35031028120981716,,,,,,,,,53661
7,8,READING EAST,South East,0.5158982344647629,0.19397739946549947,0.27373161339197405,,,,,,,,0.016392752677763515,47521
8,9,READING WEST,South East,0.5210743974267931,0.19257278917248005,0.28299009983708595,,,,,,,,0.0033627135636409206,47878
9,10,SLOUGH,South East,0.42931081449196407,0.3688757442503016,0.1852161730941355,,,,,,,,0.016597268163598862,51394
10,11,WINDSOR & MAIDENHEAD,South East,0.5822947379845522,0.11546044896261057,0.2530253423294684,,,,,,,,0.049219470723368845,55283
11,12,WOKINGHAM,South East,0.6039732912646293,0.08001614264225704,0.3160105660931137,,,,,,,,,54514
12,13,AYLESBURY,South East,0.5805646245438832,0.1222200883426157,0.2940272709813712,,,,,,,,0.0031880161321298254,52070
13,14,BEACONSFIELD,South East,0.63768236939325,0.10659347540230844,0.2557241552044416,,,,,,,,,47911
14,15,BUCKINGHAM,South East,0.5691621219633118,0.1502231036192365,0.28061477441745164,,,,,,,,,48408
15,16,CHESHAM & AMERSHAM,South East,0.6102840149818374,0.07810882535619507,0.3116071596619676,,,,,,,,,53131
16,17,MILTON KEYNES,South East,0.48033885015936867,0.22234911111489883,0.28394893384922193,,,,,,,,0.013363104876510594,58669
17,18,WYCOMBE,South East,0.5421645952836202,0.1720044614404079,0.27931803696622054,,,,,,,,0.006512906309751434,50208
18,19,BEXHILL & BATTLE,South East,0.6734240735395342,0.07964562470857295,0.23498456824388836,,,,,,,,0.011945733508004529,45037
19,20,BRIGHTON KEMPTOWN,South East,0.5113688562241617,0.29598070739549837,0.18598989435002297,,,,,,,,0.00666054203031695,43540
20,21,BRIGHTON PAVILION,South East,0.5151354093687338,0.2386635421448071,0.24620104848645907,,,,,,,,,41393
21,22,EASTBOURNE,South East,0.5909466101376956,0.07109893820583049,0.3379544516564739,,,,,,,,,53306
22,23,HASTINGS & RYE,South East,0.5329977744961417,0.1519166372012729,0.30462364025874084,,,,,,,,0.010461948043844507,48079
23,24,HOVE,South East,0.6052431289640592,0.13847780126849896,0.24120507399577168,,,,,,,,0.015073995771670191,47300
24,25,LEWES,South East,0.5842501447596989,0.08473933270770521,0.3066309925523631,,,,,,,,0.024379529980232812,50083
25,26,WEALDEN,South East,0.6420254590061737,0.06153598648621473,0.2964385545076116,,,,,,,,,49727
26,27,BASILDON,Eastern,0.3867776624638417,0.3563274228807384,0.25689491465541986,,,,,,,,,45287
27,28,BILLERICAY,Eastern,0.5370313321131508,0.1907833934363844,0.2721852744504648,,,,,,,,,55183
28,29,BRAINTREE,Eastern,0.525787914480494,0.1882963914766035,0.2859156940429025,,,,,,,,,56034
29,30,BRENTWOOD & ONGAR,Eastern,0.5837837837837838,0.11363231363231363,0.3025839025839026,,,,,,,,,50505
30,31,CASTLE POINT,Eastern,0.5853626489138052,0.16689295725297829,0.24774439383321653,,,,,,,,,45664
31,32,CHELMSFORD,Eastern,0.47638367542528554,0.0512419135851769,0.4703458190240396,,,,,,,,0.0020285919654979634,62605
32,33,EPPING FOREST,Eastern,0.5651025000516113,0.17112244265984022,0.24763104110324324,,,,,,,,0.01614401618530523,48439
33,34,HARLOW,Eastern,0.41117008308171266,0.34226664916261884,0.24176215749892163,,,,,,,,0.004801110256746873,53321
34,35,HARWICH,Eastern,0.541465918963747,0.16392859963667958,0.2946054813995735,,,,,,,,,50644
35,36,COLCHESTER NORTH,Eastern,0.5297158537664867,0.18406656634504737,0.2633088430556785,,,,,,,,0.022908736832787466,56485
36,37,ROCHFORD,Eastern,0.5784127233149648,0.10011178004824192,0.3214754966367933,,,,,,,,,50993
37,38,SAFFRON WALDEN,Eastern,0.5784611348474628,0.11389700921969867,0.2927066936511506,,,,,,,,0.014935162281688029,53364
38,39,COLCHESTER SOUTH & MALDON,Eastern,0.536266899706986,0.1359173392278826,0.32781576106513133,,,,,,,,,58359
39,40,SOUTHEND EAST,Eastern,0.5577559448990586,0.15873585922068595,0.2835081958802555,,,,,,,,,38983
40,41,SOUTHEND WEST,Eastern,0.5450560357305322,0.07598941317563376,0.378954551093834,,,,,,,,,48362
41,42,THURROCK,Eastern,0.3535515475395235,0.391894900912937,0.2173458027165442,,,,,,,,0.03720774883099533,44910
42,43,ALDERSHOT,South East,0.5544765010278585,0.10757070957680584,0.33795278939533563,,,,,,,,,56428
43,44,BASINGSTOKE,South East,0.5132002459223898,0.1925066001229612,0.2880727640953311,,,,,,,,0.006220389859317927,55302
44,45,HAMPSHIRE EAST,South East,0.6281092836754112,0.05516854696207693,0.3167221693625119,,,,,,,,,58856
45,46,EASTLEIGH,South East,0.5100135403218188,0.18477815914601506,0.30520830053216613,,,,,,,,,63514
46,47,FAREHAM,South East,0.61796438810925,0.07182737286856798,0.310208239022182,,,,,,,,,53016
47,48,GOSPORT,South East,0.6064303699399574,0.0929476833021284,0.29543547033378526,,,,,,,,0.005186476424128951,46467
48,49,HAVANT,South East,0.5533554817275748,0.12026578073089701,0.32637873754152824,,,,,,,,,52675
49,50,ISLE OF WIGHT,South East,0.46324339389756725,0.024261085378316324,0.5097349595869776,,,,,,,,0.0027605611371388375,75347
50,51,NEW FOREST,South East,0.6637066687393129,0.07918156381159645,0.25711176744909064,,,,,,,,,51464
51,52,HAMPSHIRE NORTH WEST,South East,0.5732273163951516,0.10132248635611062,0.3254501972487378,,,,,,,,,48923
52,53,PORTSMOUTH NORTH,South East,0.5526565798733286,0.21134764250527796,0.23599577762139337,,,,,,,,,56840
53,54,PORTSMOUTH SOUTH,South East,0.500059765718384,0.22559566499322656,0.2543230536297713,,,,,,,,0.020021515658618216,50196
54,55,ROMSEY & WATERSIDE,South East,0.5660563800432545,0.12312625848310836,0.3108173614736371,,,,,,,,,53636
55,56,SOUTHAMPTON ITCHEN,South East,0.41462538746503363,0.27073410448325397,0.3146405080517124,,,,,,,,,52908
56,57,SOUTHAMPTON TEST,South East,0.45192448680351904,0.2806268328445748,0.26744868035190617,,,,,,,,,54560
57,58,WINCHESTER,South East,0.5755826538711307,0.08139115376289775,0.3402301753373259,,,,,,,,0.0027960170286456454,55436
58,59,BROXBOURNE,Eastern,0.5883131732563038,0.16366772983490802,0.2379490882830836,,,,,,,,0.0100700086257046,49851
59,60,HERTFORD & STORTFORD,Eastern,0.5597663704531873,0.11957129363687183,0.31054224415444226,,,,,,,,0.010120091755498583,51877
