,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/PC Vote,DUP Vote,UUP Vote,SDLP Vote,Alliance Vote,Other Vote,Vote share,Total votes
0,1.0,LUTON SOUTH,Eastern,0.4483916761884976,0.43455905266438144,0.1042207679789481,,,,,,0.012828503168172847,0.012828503168172847,57762
1,2.0,BEDFORDSHIRE MID,Eastern,0.5818628868961527,0.21828174717963553,0.17293896442001735,,,,,,0.026916401504194387,0.026916401504194387,69140
2,3.0,BEDFORDSHIRE NORTH,Eastern,0.5066291887498519,0.3099039910594849,0.1695649965287773,,,,,,0.013901823661885974,0.013901823661885974,59057
3,4.0,LUTON NORTH,Eastern,0.5365260900643317,0.32853625605591297,0.12024461917242475,,,,,,0.014693034707330632,0.014693034707330632,62955
4,5.0,BEDFORDSHIRE SOUTH WEST,Eastern,0.5712762229771934,0.2471853623607916,0.16740047837413732,,,,,,0.014137936287877633,0.014137936287877633,65639
5,6.0,BERKSHIRE EAST,South East,0.5966509908391552,0.1965096365563922,0.20683937260445265,,,,,,,,73574
6,7.0,NEWBURY,South East,0.5591441563525763,0.05965609660613726,0.37308398831571654,,,,,,,,66414
7,8.0,READING EAST,South East,0.5384814335858119,0.26959172362830225,0.1760206909292444,,,,,,,,54130
8,9.0,READING WEST,South East,0.5293773474510692,0.2783911820772701,0.18066172168431383,,,,,,,,52983
9,10.0,SLOUGH,South East,0.4461298970855314,0.4372394707255902,0.06989535587650264,,,,,,0.04673527631237568,0.04673527631237568,57815
10,11.0,WINDSOR & MAIDENHEAD,South East,0.5553268630958977,0.07876696062443597,0.35064359335665995,,,,,,0.015262582923006286,0.015262582923006286,63161
11,12.0,WOKINGHAM,South East,0.6142776444005084,0.12492585792967095,0.25120745657393023,,,,,,0.009589041095890411,0.009589041095890411,70810
12,13.0,AYLESBURY,South East,0.5739174187867543,0.1339193056385421,0.27736721280543414,,,,,,0.014796062769269473,0.014796062769269473,63598
13,14.0,BEACONSFIELD,South East,0.6395166323115036,0.13546020159231453,0.19327143100285557,,,,,,0.031751735093326273,0.031751735093326273,52879
14,15.0,BUCKINGHAM,South East,0.6247034903422569,0.1622754998305659,0.20554473059979667,,,,,,0.007476279227380549,0.007476279227380549,47216
15,16.0,CHESHAM & AMERSHAM,South East,0.6362567970531485,0.10403437993334502,0.24650061392738115,,,,,,,,57010
16,17.0,MILTON KEYNES SOUTH WEST,South East,0.4660892686074019,0.37445502355862287,0.14524233122837202,,,,,,0.014213376605603237,0.014213376605603237,51149
17,17.5,MILTON KEYNES NORTH EAST,South East,0.5160045671089413,0.2369384621441789,0.23018622780424425,,,,,,0.016870742942635537,0.016870742942635537,50798
18,18.0,WYCOMBE,South East,0.5313631626362367,0.21589443747681547,0.22972567168924768,,,,,,0.023016728197700093,0.023016728197700093,56611
19,19.0,BEXHILL & BATTLE,South East,0.6022683583237216,0.09386774317570165,0.2887927720107651,,,,,,0.01507112648981161,0.01507112648981161,52020
20,20.0,BRIGHTON KEMPTOWN,South East,0.48137516232656685,0.41175130430820406,0.10163351787300937,,,,,,0.005240015492219716,0.005240015492219716,43893
21,21.0,BRIGHTON PAVILION,South East,0.4661409494543236,0.383103237905868,0.1266692274668414,,,,,,0.02408658517296699,0.02408658517296699,44257
22,22.0,EASTBOURNE,South East,0.5159028949759834,0.045988575879527455,0.4269602752174477,,,,,,0.011148253927041413,0.011148253927041413,61624
23,23.0,HASTINGS & RYE,South East,0.47552902673955894,0.15727620960243965,0.3521700323552382,,,,,,0.015024731302763212,0.015024731302763212,53778
24,24.0,HOVE,South East,0.4896284613388169,0.24470442612150373,0.1938349737467308,,,,,,0.07183213879294856,0.07183213879294856,50089
25,25.0,LEWES,South East,0.546392604964199,0.09521604683081705,0.3450630860053247,,,,,,0.013328262199659352,0.013328262199659352,60473
26,26.0,WEALDEN,South East,0.6173663805957785,0.09243182345339475,0.2705855064780145,,,,,,0.019616289472812222,0.019616289472812222,60358
27,27.0,BASILDON,Eastern,0.44901031502648453,0.4215035777344113,0.12948610723910417,,,,,,,,53805
28,28.0,BILLERICAY,Eastern,0.5650623885918004,0.2096740082781957,0.22526360313000393,,,,,,,,66198
29,29.0,BRAINTREE,Eastern,0.5230720126455299,0.25718150591239325,0.20675137550536524,,,,,,,,65794
30,30.0,BRENTWOOD & ONGAR,Eastern,0.5764885222381636,0.10903873744619799,0.3048780487804878,,,,,,,,55760
31,31.0,CASTLE POINT,Eastern,0.5556930925186144,0.24004576229861777,0.1914514525778803,,,,,,,,53319
32,32.0,CHELMSFORD,Eastern,0.5529778344309894,0.14177466185114368,0.2943559238014305,,,,,,,,70605
33,33.0,EPPING FOREST,Eastern,0.5952464044964458,0.22443656668442225,0.17017798431386955,,,,,,0.010139044505262384,0.010139044505262384,54443
34,34.0,HARLOW,Eastern,0.46968279465499285,0.41778609380240417,0.11253111154260295,,,,,,,,56651
35,35.0,HARWICH,Eastern,0.5189918068271097,0.23266366303772706,0.2438711539386554,,,,,,0.0044733761965078805,0.0044733761965078805,62369
36,36.0,COLCHESTER NORTH,Eastern,0.51470459262724,0.20273628204753413,0.2736428216446926,,,,,,0.008916303680533224,0.008916303680533224,68414
