,id,Constituency,Country/Region,Country,Con Vote,Liberal Vote,Labour Vote,SNP Vote,PC Vote,DUP Vote,Sinn Fein Vote,SDLP Vote,UUP Vote,Other Vote,Total votes
0,1,BEDFORD,Eastern,England,0.327681805860174,0.15833312797259666,0.4794105325414623,,,,,,,0.03457453362576702,40579
1,2,LUTON NORTH,Eastern,England,0.3120687011194602,0.096994326023616,0.5670653785206767,,,,,,,0.023871594336247,39126
2,3,LUTON SOUTH,Eastern,England,0.29442707936265916,0.10906965515488806,0.551930065309649,,,,,,,0.044573200172803744,39351
3,4,MID BEDFORDSHIRE,Eastern,England,0.4740554912303272,0.19737124233457695,0.30110639392769845,,,,,,,0.0274668725073974,46638
4,5,NORTH EAST BEDFORDSHIRE,Eastern,England,0.499182248154533,0.16374928170446007,0.30961852981479027,,,,,,,0.02744994032621668,45246
5,6,SOUTH WEST BEDFORDSHIRE,Eastern,England,0.4213298672869066,0.14760341131937793,0.4036347881607151,,,,,,,0.02743193323300041,43854
6,7,BRACKNELL,South East,England,0.4664323874139227,0.17119990249649597,0.330069674378923,,,,,,,0.032298035710658354,49229
7,8,MAIDENHEAD,South East,England,0.4502977976822568,0.37448635671083613,0.15183064776767163,,,,,,,0.02338519783923542,43318
8,9,NEWBURY,South East,England,0.4348219733501289,0.4823547936307989,0.0693408388607869,,,,,,,0.013482394158285275,50807
9,10,READING EAST,South East,England,0.31961031518624644,0.18516905444126075,0.4478624641833811,,,,,,,0.04735816618911175,43625
10,11,READING WEST,South East,England,0.3203686943266803,0.12830467298623352,0.5311294240937455,,,,,,,0.020197208593340638,41986
11,12,SLOUGH,South East,England,0.2618082978614288,0.10536437766039285,0.5825426944971537,,,,,,,0.05028462998102467,38998
12,13,WINDSOR,South East,England,0.4725718356684873,0.26148183329375446,0.2407266682498219,,,,,,,0.02521966278793636,42110
13,14,WOKINGHAM,South East,England,0.4610472541507024,0.3243477467615399,0.17407863528553183,,,,,,,0.04052636380222587,43848
14,15,AYLESBURY,South East,England,0.47324138774013486,0.2693381139609265,0.23199625155336442,,,,,,,0.025424246745574183,49087
15,16,BEACONSFIELD,South East,England,0.5275484054669703,0.21632972665148065,0.21753986332574032,,,,,,,0.03858200455580866,42144
16,17,BUCKINGHAM,South East,England,0.5366672556988867,0.19961565647640925,0.24233521823643753,,,,,,,0.02138186958826648,45272
17,18,CHESHAM & AMERSHAM,South East,England,0.5049797937415808,0.24258551774396572,0.1876421615175673,,,,,,,0.06479252699688624,45283
18,19,MILTON KEYNES SOUTH WEST,South East,England,0.3416622598272519,0.10638110347258946,0.4954168870086374,,,,,,,0.05653974969152124,45384
19,20,NORTH EAST MILTON KEYNES,South East,England,0.3807703741453264,0.17783581772624962,0.41960759332399034,,,,,,,0.021786214804433685,47094
20,21,WYCOMBE,South East,England,0.4238893582959043,0.17027615955885622,0.3534486592253302,,,,,,,0.05238582291990928,44974
21,22,BEXHILL & BATTLE,South East,England,0.48132103700064754,0.24679007659156377,0.19431480695799747,,,,,,,0.07757407944979122,44783
22,23,"BRIGHTON, KEMPTOWN",South East,England,0.35260056628319264,0.10366553580083157,0.47815218223095174,,,,,,,0.0655817156850241,39203
23,24,"BRIGHTON, PAVILION",South East,England,0.2505463742848022,0.13132627753358053,0.48734130589593105,,,,,,,0.13078604228568622,40723
24,25,EASTBOURNE,South East,England,0.4408755863301318,0.3927630109448291,0.13328121509939692,,,,,,,0.033080187625642174,44770
25,26,HASTINGS & RYE,South East,England,0.36619923334465526,0.10349847154155951,0.47071667717987287,,,,,,,0.05958561793391237,41218
26,27,HOVE,South East,England,0.383014194531771,0.09104982375916928,0.45853577212536917,,,,,,,0.06740020958369058,41988
27,28,LEWES,South East,England,0.3494816543041402,0.5632029582021878,0.07300860607928158,,,,,,,0.01430678141439042,45433
28,29,WEALDEN,South East,England,0.4981234361968307,0.23707256046705588,0.20291530821138828,,,,,,,0.06188869512472515,52756
29,30,BASILDON,Eastern,England,0.33793272171253824,0.09029969418960244,0.5272415902140672,,,,,,,0.044525993883792046,40875
30,31,BILLERICAY,Eastern,England,0.47388043335234004,0.13866836264748453,0.36394140093863764,,,,,,,0.023509803061537788,45598
31,32,BRAINTREE,Eastern,England,0.4126999900626056,0.11257080393520819,0.41981516446387757,,,,,,,0.05491404153830866,50315
32,33,BRENTWOOD & ONGAR,Eastern,England,0.3802765146295531,0.15552799595792569,0.12642965412704973,,,,,,,0.3377658352854715,43542
33,34,CASTLE POINT,Eastern,England,0.4460594477694513,0.07835839662022834,0.42128954383141376,,,,,,,0.0542926117789066,39766
34,35,COLCHESTER,Eastern,England,0.2989299432961405,0.42589628681177977,0.2497942198646424,,,,,,,0.02537955002743735,43736
35,36,EPPING FOREST,Eastern,England,0.4911821568350073,0.18588202008770688,0.29252133729428964,,,,,,,0.03041448578299618,42414
36,37,HARLOW,Eastern,England,0.34752586314346257,0.13413934937055963,0.477851177863642,,,,,,,0.040483609622335784,40115
