,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share,Con Vote
80,E14000593,BRENTFORD AND ISLEWORTH,,,,,,,,,,,,,,,,,na
81,E14000592,BRENT NORTH,,,,,,,,,,,,,,,,,na
82,E14000594,BRENTWOOD AND ONGAR,,,,,,,,,,,,,,,,,na
83,W07000073,BRIDGEND,,,,,,,,,,,,,,,,,na
84,E14000595,BRIDGWATER AND WEST SOMERSET,,,,,,,,,,,,,,,,,na
85,E14000596,BRIGG AND GOOLE,,,,,,,,,,,,,,,,,na
86,E14000597,"BRIGHTON, KEMPTOWN",,,,,,,,,,,,,,,,,na
87,E14000598,"BRIGHTON, PAVILION",,,,,,,,,,,,,,,,,na
88,E14000599,BRISTOL EAST,,,,,,,,,,,,,,,,,na
89,E14000600,BRISTOL NORTH WEST,,,,,,,,,,,,,,,,,na
90,E14000601,BRISTOL SOUTH,,,,,,,,,,,,,,,,,na
91,E14000602,BRISTOL WEST,,,,,,,,,,,,,,,,,na
92,E14000603,BROADLAND,,,,,,,,,,,,,,,,,na
93,E14000604,BROMLEY AND CHISLEHURST,,,,,,,,,,,,,,,,,na
94,E14000605,BROMSGROVE,,,,,,,,,,,,,,,,,na
95,E14000606,BROXBOURNE,,,,,,,,,,,,,,,,,na
96,E14000607,BROXTOWE,,,,,,,,,,,,,,,,,na
97,E14000608,BUCKINGHAM,,,,,,,,,,,,,,,,,na
98,E14000609,BURNLEY,,,,,,,,,,,,,,,,,na
99,E14000610,BURTON,,,,,,,,,,,,,,,,,na
100,E14000611,BURY NORTH,,,,,,,,,,,,,,,,,na
101,E14000612,BURY SOUTH,,,,,,,,,,,,,,,,,na
102,E14000613,BURY ST EDMUNDS,,,,,,,,,,,,,,,,,na
103,W07000076,CAERPHILLY,,,,,,,,,,,,,,,,,na
104,S14000009,"CAITHNESS, SUTHERLAND AND EASTER ROSS",,,,,,,,,,,,,,,,,na
105,E14000614,CALDER VALLEY,,,,,,,,,,,,,,,,,na
106,E14000615,CAMBERWELL AND PECKHAM,,,,,,,,,,,,,,,,,na
107,E14000616,CAMBORNE AND REDRUTH,,,,,,,,,,,,,,,,,na
108,E14000617,CAMBRIDGE,,,,,,,,,,,,,,,,,na
109,E14000618,CANNOCK CHASE,,,,,,,,,,,,,,,,,na
110,E14000619,CANTERBURY,,,,,,,,,,,,,,,,,na
111,W07000050,CARDIFF CENTRAL,,,,,,,,,,,,,,,,,na
112,W07000051,CARDIFF NORTH,,,,,,,,,,,,,,,,,na
113,W07000080,CARDIFF SOUTH AND PENARTH,,,,,,,,,,,,,,,,,na
114,W07000079,CARDIFF WEST,,,,,,,,,,,,,,,,,na
115,E14000620,CARLISLE,,,,,,,,,,,,,,,,,na
116,W07000067,CARMARTHEN EAST AND DINEFWR,,,,,,,,,,,,,,,,,na
117,W07000066,CARMARTHEN WEST AND SOUTH PEMBROKESHIRE,,,,,,,,,,,,,,,,,na
118,E14000621,CARSHALTON AND WALLINGTON,,,,,,,,,,,,,,,,,na
119,E14000622,CASTLE POINT,,,,,,,,,,,,,,,,,na
120,S14000010,CENTRAL AYRSHIRE,,,,,,,,,,,,,,,,,na
121,E14000623,CENTRAL DEVON,,,,,,,,,,,,,,,,,na
122,E14000624,CENTRAL SUFFOLK AND NORTH IPSWICH,,,,,,,,,,,,,,,,,na
123,W07000064,CEREDIGION,,,,,,,,,,,,,,,,,na
124,E14000625,CHARNWOOD,,,,,,,,,,,,,,,,,na
125,E14000626,CHATHAM AND AYLESFORD,,,,,,,,,,,,,,,,,na
126,E14000627,CHEADLE,,,,,,,,,,,,,,,,,na
127,E14000628,CHELMSFORD,,,,,,,,,,,,,,,,,na
128,E14000629,CHELSEA AND FULHAM,,,,,,,,,,,,,,,,,na
129,E14000630,CHELTENHAM,,,,,,,,,,,,,,,,,na
130,E14000631,CHESHAM AND AMERSHAM,,,,,,,,,,,,,,,,,na
131,E14000632,CHESTERFIELD,,,,,,,,,,,,,,,,,na
132,E14000633,CHICHESTER,,,,,,,,,,,,,,,,,na
133,E14000634,CHINGFORD AND WOODFORD GREEN,,,,,,,,,,,,,,,,,na
134,E14000635,CHIPPENHAM,,,,,,,,,,,,,,,,,na
135,E14000636,CHIPPING BARNET,,,,,,,,,,,,,,,,,na
136,E14000637,CHORLEY,,,,,,,,,,,,,,,,,na
137,E14000638,CHRISTCHURCH,,,,,,,,,,,,,,,,,na
138,E14000639,CITIES OF LONDON AND WESTMINSTER,,,,,,,,,,,,,,,,,na
139,E14000640,CITY OF CHESTER,,,,,,,,,,,,,,,,,na
140,E14000641,CITY OF DURHAM,,,,,,,,,,,,,,,,,na
141,E14000642,CLACTON,,,,,,,,,,,,,,,,,na
142,E14000643,CLEETHORPES,,,,,,,,,,,,,,,,,na
143,W07000062,CLWYD SOUTH,,,,,,,,,,,,,,,,,na
144,W07000059,CLWYD WEST,,,,,,,,,,,,,,,,,na
145,S14000011,"COATBRIDGE, CHRYSTON AND BELLSHILL",,,,,,,,,,,,,,,,,na
