,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/ PC Vote,Other Vote,Total votes
403,425,NEWTON,North West,0.38942090523082484,0.5250850724244888,0.08549402234468637,,,66414
404,430,NORMANTON,Yorkshire and the Humber,0.31603013019517245,0.6839698698048275,,,,41553
405,14,NORTH ANGUS AND MEARNS,Scotland,0.530829839525806,0.1840393234061009,0.1160907908052624,0.1690400462628307,,27668
406,156,NORTH CORNWALL,South West,0.47096995371844164,0.04263290643289174,0.48639713984866667,,,40837
407,178,NORTH DEVON,South West,0.4321978534764349,0.12291180587960802,0.440807279514699,,0.004083061129258049,42860
408,183,NORTH DORSET,South West,0.5787729712148317,0.17535371605139047,0.24587331273377785,,,49192
409,174,NORTH EAST DERBYSHIRE,East Midlands,0.3913535572523951,0.6086464427476048,,,,62731
410,433,NORTH FYLDE,North West,0.6884585497525664,0.3115414502474336,,,,48902
411,345,NORTH LANARKSHIRE,Scotland,0.39977846385897103,0.5180646225636917,,0.08215691357733733,,42431
412,427,NORTH NORFOLK,Eastern,0.5526410429309957,0.44735895706900425,,,,44490
413,522,NORTH SOMERSET,South West,0.5808841063550734,0.4191158936449267,,,,67096
414,197,NORTH WEST DURHAM,North East,0.3040045930816707,0.6959954069183293,,,,34835
415,431,NORTHAMPTON,East Midlands,0.48842501912063724,0.5115749808793628,,,,53607
416,434,NORTHWICH,North West,0.5127908147849733,0.3964649007956491,0.09074428441937758,,,39716
417,435,"NORWICH,NORTH",Eastern,0.38173045995496946,0.5971051785139916,,,0.02116436153103892,31090
418,436,"NORWICH,SOUTH",Eastern,0.46966069512094444,0.44693029527504885,0.08340900960400671,,,36339
419,437,"NOTTINGHAM,CENTRAL",East Midlands,0.4438944414667213,0.5561055585332787,,,,31717
420,438,"NOTTINGHAM,NORTH",East Midlands,0.3797788567465013,0.5283365294381656,0.07676771798114979,,0.015116895834183361,49018
421,439,"NOTTINGHAM,SOUTH",East Midlands,0.5374651055369228,0.46253489446307716,,,,49793
422,440,"NOTTINGHAM,WEST",East Midlands,0.47203040389487805,0.527969596105122,,,,40258
423,441,NUNEATON,West Midlands,0.3278307654683297,0.5743108688816686,0.09785836565000175,,,57246
424,442,OGMORE,Wales,0.20964592685037944,0.6730409227238874,,0.1173131504257332,,49679
425,443,OLDBURY AND HALESOWEN,West Midlands,0.525974025974026,0.474025974025974,,,,55902
426,444,"OLDHAM,EAST",North West,0.4885817307692308,0.5114182692307693,,,,33280
427,445,"OLDHAM,WEST",North West,0.4308387985505944,0.4809990117689336,0.08816218968047196,,,33393
428,446,ORKNEY AND ZETLAND,Scotland,0.31905781584582443,0.21127765881513205,0.4696645253390435,,,16812
429,447,ORMSKIRK,North West,0.6138660363922852,0.3861339636077148,,,,66003
430,448,ORPINGTON,London,0.4730725953517247,0.07950180421371203,0.4474256004345633,,,51546
431,449,OSWESTRY,West Midlands,0.5074392523364486,0.26918380062305297,0.22337694704049843,,,40125
432,450,OXFORD,South East,0.46961200792976493,0.43404134806003963,0.09634664401019541,,,52965
433,451,"PADDINGTON,NORTH",London,0.40429237068762647,0.5480773756295007,0.047630253682872874,,,21247
434,452,"PADDINGTON,SOUTH",London,0.5314551146117338,0.39952539634454204,0.06901948904372412,,,19806
435,453,PAISLEY,Scotland,0.32400927442513455,0.5409159558401225,0.06207057922613856,0.07300419050860436,,47011
436,454,PEMBROKE,Wales,0.34728907456180186,0.3249296158387067,0.046153846153846156,0.06686041231495778,0.2147670511306875,55055
437,455,PENISTONE,Yorkshire and the Humber,0.27659258434059303,0.5869956738892292,0.13641174177017767,,,53859
438,456,PENRITH AND THE BORDERS,North West,0.5895174873674824,0.25403745169919745,0.1564450609333201,,,40372
439,457,PERTH AND EAST PERTHSHIRE,Scotland,0.5210344416636873,0.23768323203432248,0.07176736980097724,0.169514956501013,,41955
440,458,PETERBOROUGH,East Midlands,0.5408398790459661,0.4591601209540339,,,,55889
441,459,PETERSFIELD,South East,0.6050129301770439,0.2050328227571116,0.15482395066640142,,0.035130296399443005,50270
442,460,"PLYMOUTH,DEVONPORT",South West,0.516212128373588,0.48378787162641207,,,,42314
443,461,"PLYMOUTH,SUTTON",South West,0.49356245367896723,0.5064375463210328,,,,58019
444,462,PONTEFRACT,Yorkshire and the Humber,0.2516897859211983,0.7483102140788017,,,,42461
445,463,PONTYPOOL,Wales,0.22882427307206069,0.7069841843184809,,0.05296834283650249,0.01122319977295596,38759
446,464,PONTYPRIDD,Wales,0.16900451090650684,0.5852643720776947,0.1415271169334075,0.10420400008239099,,48549
447,465,POOLE,South West,0.5311155133547374,0.30073775531115515,0.1681467313341075,,,58556
448,466,POPLAR,London,0.19634170071998444,0.8036582992800155,,,,20556
449,467,"PORTSMOUTH,LANGSTON",South East,0.5435979664640589,0.3292936072889088,0.12710842624703236,,,80451
450,468,"PORTSMOUTH,SOUTH",South East,0.633764447618292,0.3662355523817081,,,,37809
451,469,"PORTSMOUTH,WEST",South East,0.4774159354572758,0.5055355986102115,,,0.01704846593251281,33962
452,470,"PRESTON,NORTH",North West,0.5063476070528967,0.4317380352644836,0.061914357682619645,,,39700
453,471,"PRESTON,SOUTH",North West,0.516793257462969,0.48320674253703094,,,,39629
454,472,PUDSEY,Yorkshire and the Humber,0.4923139240506329,0.37089620253164557,0.13678987341772153,,,49375
455,473,READING,South East,0.5030591144556482,0.4784582915858364,,,0.018482593958515422,46909
456,474,REIGATE,South East,0.5385736181807861,0.29203171419380475,0.1693946676254092,,,52847
457,477,"RHONDDA,EAST",Wales,0.047599033308815805,0.6865608910370915,,0.24275857237925116,0.02308150327484151,28551
458,478,"RHONDDA,WEST",Wales,0.06409745998885262,0.7476311808264989,,0.14045704275818138,0.04781431642646707,25118
459,480,RICHMOND (YORKSHIRE),Yorkshire and the Humber,0.6279184783728646,0.2617511900591423,0.11033033156799307,,,48527
460,479,RICHMOND (SURREY),London,0.5130092434097911,0.31743042989191567,0.16956032669829316,,,40894
461,481,RIPON,Yorkshire and the Humber,0.6070518874674451,0.26178415042500214,0.13116396210755274,,,34941
462,482,ROCHDALE,North West,0.2802963218936956,0.4156929655946956,0.3040107125116088,,,46301
463,483,ROCHESTER AND CHATHAM,South East,0.5483917731267555,0.45160822687324453,,,,55185
464,484,ROMFORD,London,0.47398091934084996,0.52601908065915,,,,53038
465,485,ROSS AND CROMARTY,Scotland,0.33209148297630137,0.2599089309738177,0.2906447273103591,0.1173548587395219,,19326
466,486,ROSSENDALE,North West,0.5240926799261841,0.47590732007381586,,,,39016
467,488,ROTHER VALLEY,Yorkshire and the Humber,0.28211856171039845,0.7178814382896016,,,,61740
468,487,ROTHERHAM,Yorkshire and the Humber,0.3359111952861953,0.6640888047138047,,,,38016
469,489,ROWLEY REGIS AND TIPTON,West Midlands,0.38327001825447726,0.6167299817455227,,,,40538
470,490,"ROXBURGH, SELKIRK AND PEEBLES",Scotland,0.41067486256006236,0.09640275312757024,0.42257910912947494,0.06811393446171161,0.0022293407211809012,46202
471,491,RUGBY,West Midlands,0.46613621493847746,0.5285029864291594,,,0.0053607986323631835,47381
472,492,RUISLIP-NORTHWOOD,London,0.6065389233540124,0.28869821893135883,0.10476285771462877,,,39976
473,493,RUNCORN,North West,0.5352309549526654,0.3431814812461613,0.1215875638011733,,,47217
474,494,RUSHCLIFFE,East Midlands,0.5165821433337782,0.413686107033231,0.0697317496329908,,,59944
475,495,RUTHERGLEN,Scotland,0.43327147948514033,0.5228417425112662,,,0.04388677800359341,33951
476,496,RUTLAND AND STAMFORD,East Midlands,0.6010437808060307,0.3989562191939693,,,,37939
477,497,RYE,South East,0.6424280997653049,0.179621305541191,0.1779505946935041,,,50278
478,498,SAFFRON WALDON,Eastern,0.5291531049942879,0.32084581725691375,0.1500010777487983,,,46393
479,504,"SALFORD,EAST",North West,0.33700239133492754,0.5574975383316922,0.10550007033338023,,,28436
480,505,"SALFORD,WEST",North West,0.45724693251533743,0.5427530674846626,,,,31296
481,506,SALISBURY,South West,0.6028109531810545,0.39718904681894557,,,,44042
482,507,SCARBOROUGH AND WHITBY,Yorkshire and the Humber,0.49842776284946544,0.1868008309035123,0.31477140624702227,,,52473
483,508,SEDGEFIELD,North East,0.3946603615585439,0.6053396384414561,,,,60903
484,509,SEVENOAKS,South East,0.5413461538461538,0.25490716180371353,0.20374668435013263,,,60320
485,510,"SHEFFIELD,ATTERCLIFFE",Yorkshire and the Humber,0.2887329496175984,0.6959972666824358,,,0.015269783699965834,38049
486,511,"SHEFFIELD,BRIGHTSIDE",Yorkshire and the Humber,0.25836397612876,0.721592621616734,,,0.020043402254505998,33178
487,512,"SHEFFIELD,HALLAM",Yorkshire and the Humber,0.6131739448646011,0.31432056599170527,0.07250548914369358,,,40990
488,513,"SHEFFIELD,HEELEY",Yorkshire and the Humber,0.47032493647668566,0.4586635704309489,0.07101149309236543,,,59427
489,514,"SHEFFIELD,HILLSBOROUGH",Yorkshire and the Humber,0.37872270019854404,0.621277299801456,,,,30220
490,515,"SHEFFIELD,PARK",Yorkshire and the Humber,0.2268514032877951,0.7525756548138101,,,0.02057294189839486,30963
491,516,SHIPLEY,Yorkshire and the Humber,0.5037168908028002,0.38879399523660596,0.10748911396059374,,,41567
492,517,SHOREDITCH AND FINSBURY,London,0.3311460258780037,0.6688539741219963,,,,21640
493,518,SHREWSBURY,West Midlands,0.5386502190893504,0.31941798437797675,0.14193179653267288,,,41992
494,519,SKIPTON,Yorkshire and the Humber,0.5132269914449841,0.2961218904859348,0.19065111806908114,,,40561
495,520,SMETHWICK,West Midlands,0.45362431800467656,0.522116134060795,0.02425954793452845,,,30792
496,521,SOLIHULL,West Midlands,0.6428522781447933,0.22442620717836953,0.13272151467683715,,,58732
497,15,SOUTH ANGUS,Scotland,0.561433868974042,0.20758137618459002,,0.23098475484136793,,36405
498,28,SOUTH AYRSHIRE,Scotland,0.3017731596360629,0.6180210918114144,,0.08020574855252274,,38688
499,48,SOUTH BEDFORDSHIRE,Eastern,0.48734452577161286,0.4236448789476378,0.08901059528074935,,,78148
500,113,SOUTH BUCKINGHAMSHIRE,South East,0.5866176341313329,0.24123128314824038,0.17215108272042665,,,68254
501,184,SOUTH DORSET,South West,0.5206131078224101,0.3910450015101178,0.08834189066747206,,,52976
502,175,SOUTH EAST DERBYSHIRE,East Midlands,0.5220938909256075,0.4779061090743925,,,,61646
503,222,SOUTH EAST ESSEX,Eastern,0.576951889462294,0.3285611231341213,0.0944869874035847,,,72084
504,528,SOUTH FYLDE,North West,0.6361584471278636,0.21529333999709804,0.14854821287503828,,,62027
505,260,SOUTH GLOUCESTERSHIRE,South West,0.5094342365391324,0.3789248749854634,0.11164088847540411,,,68792
506,428,SOUTH NORFOLK,Eastern,0.5187054155102415,0.39388031286556413,0.08741427162419432,,,43597
507,432,SOUTH NORTHAMPTONSHIRE,East Midlands,0.5115526070353881,0.371847889207595,0.11659950375701691,,,56827
508,531,SOUTH SHIELDS,North East,0.39799804590137783,0.6020019540986221,,,,50151
509,294,SOUTH WEST HERTFORDSHIRE,Eastern,0.5032046343943549,0.37306258281206667,0.11538224509290358,,0.008350537700674822,64906
510,429,SOUTH WEST NORFOLK,Eastern,0.5727985151577645,0.4272014848422355,,,,38792
511,622,SOUTH WORCESTERSHIRE,West Midlands,0.6039133776034996,0.25299020670358036,0.14309641569292006,,,50749
512,523,SOUTHALL,London,0.4197968278572813,0.5366900102416475,,,0.04351316190107122,36127
513,524,"SOUTHAMPTON,ITCHEN",South East,,,,,1.0,43792
514,525,"SOUTHAMPTON,TEST",South East,0.4754468158944994,0.4407041085854204,0.08384907552008021,,,51867
515,526,SOUTHEND EAST,Eastern,0.5846921392066197,0.4153078607933804,,,,41090
516,527,SOUTHEND WEST,Eastern,0.6004918032786886,0.2544877049180328,0.1450204918032787,,,48800
517,529,SOUTHGATE,London,0.6074385630770045,0.2483665317567389,0.14419490516625666,,,37803
518,530,SOUTHPORT,North West,0.5021764332742743,0.19576962617844565,0.30205394054728,,,45717
519,532,SOUTHWARK,London,0.28157747380209586,0.6733061355091593,,,0.0451163906887449,25002
520,533,SOWERBY,Yorkshire and the Humber,0.425913199767405,0.43830945710207747,0.13577734313051754,,,37834
521,534,SPELTHORNE,South East,0.5420999264369645,0.36262600155078833,0.09527407201224725,,,50297
522,499,ST.ALBANS,Eastern,0.5150827184629291,0.349561707763133,0.1353555737739379,,,47571
523,500,ST.HELENS,North West,0.343250998003992,0.6567490019960079,,,,48096
524,501,ST.IVES,South West,0.5094174091843728,0.2717751884852639,0.21880740233036325,,,36475
525,502,ST.MARYLEBONE,London,0.620938501073679,0.2930615693315028,0.08599992959481818,,,28407
526,503,ST.PANCRAS NORTH,London,0.382815027862664,0.5930972496854215,,,0.024087722451914435,27815
527,535,STAFFORD AND STONE,West Midlands,0.5484071087107251,0.3718570959384009,0.079735795350874,,,54806
528,536,STALYBRIDGE AND HYDE,North West,0.4131028013473756,0.47384129962051763,0.11305589903210676,,,46906
529,537,STEPNEY,London,0.1939093093802939,0.7482567072450065,,,0.0578339833746996,25383
530,538,STIRLING AND FALKIRK,Scotland,0.34770133968968636,0.5072722858593215,,0.1450263744509921,,45309
531,541,STOCKPORT NORTH,North West,0.4600279081567931,0.43792972218698467,0.10204236965622225,,,39415
532,542,STOCKPORT SOUTH,North West,0.40730874885540663,0.4646910291628514,0.128000221981742,,,36039
