,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share,Con Vote,Liberal Vote,Labour Vote,Brexit Vote,Green Vote,SNP Vote,PC Vote,DUP Vote,Sinn Fein Vote
114,W07000079,CARDIFF WEST,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
115,E14000620,CARLISLE,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
116,W07000067,CARMARTHEN EAST AND DINEFWR,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
117,W07000066,CARMARTHEN WEST AND SOUTH PEMBROKESHIRE,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
118,E14000621,CARSHALTON AND WALLINGTON,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
119,E14000622,CASTLE POINT,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
120,S14000010,CENTRAL AYRSHIRE,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
121,E14000623,CENTRAL DEVON,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
122,E14000624,CENTRAL SUFFOLK AND NORTH IPSWICH,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
123,W07000064,CEREDIGION,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
124,E14000625,CHARNWOOD,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
125,E14000626,CHATHAM AND AYLESFORD,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
126,E14000627,CHEADLE,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
127,E14000628,CHELMSFORD,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
128,E14000629,CHELSEA AND FULHAM,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
129,E14000630,CHELTENHAM,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
130,E14000631,CHESHAM AND AMERSHAM,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
131,E14000632,CHESTERFIELD,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
132,E14000633,CHICHESTER,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
133,E14000634,CHINGFORD AND WOODFORD GREEN,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
134,E14000635,CHIPPENHAM,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
135,E14000636,CHIPPING BARNET,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
136,E14000637,CHORLEY,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
137,E14000638,CHRISTCHURCH,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
138,E14000639,CITIES OF LONDON AND WESTMINSTER,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
139,E14000640,CITY OF CHESTER,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
140,E14000641,CITY OF DURHAM,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
141,E14000642,CLACTON,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
142,E14000643,CLEETHORPES,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
143,W07000062,CLWYD SOUTH,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
144,W07000059,CLWYD WEST,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na
